Word,Meaning,Example 1,Example 2,Example 3,Memory Hook,Base Form,Subject,Chapter,Related Forms
Endeavoured,Tried hard to achieve something.,Raja Ram Mohan Roy endeavoured to reform society.,Reformers endeavoured to spread education.,He endeavoured to remove social evils.,Serious effort,Endeavour (Verb/Noun),Modern History,Socio-Religious Reform Movement,"Endeavour, Endeavouring"
Contravene,To violate or go against a rule.,The practice was said to contravene moral principles.,Certain customs contravened human rights.,The act contravened the law.,Go against,Contravene (Verb),Modern History,Socio-Religious Reform Movement,Contravention
Polemic,A strong attack on an idea or belief.,Reform literature often contained polemics against superstition.,The article was a polemic against caste discrimination.,Many debates became highly polemical.,Strong criticism,Polemic (Noun),Modern History,Socio-Religious Reform Movement,Polemical
Stigma,A mark of shame or disgrace.,Widowhood carried a social stigma.,Reformers fought against the stigma attached to lower castes.,Education helped reduce social stigma.,Mark of shame,Stigma (Noun),Modern History,Socio-Religious Reform Movement,"Stigmatize, Stigmatized"
Sacerdotal,Relating to priests or priestly authority.,The movement opposed excessive sacerdotal control.,Sacerdotal privileges were questioned by reformers.,Many criticized sacerdotal dominance in society.,Priestly authority,Sacerdotal (Adjective),Modern History,Socio-Religious Reform Movement,Sacerdotalism
Reneged,Went back on a promise.,The ruler reneged on earlier commitments.,Some leaders reneged on their agreements.,The organization was accused of reneging on its promises.,Break promise,Renege (Verb),Modern History,Socio-Religious Reform Movement,"Renege, Reneging"
Fillip,Something that gives a boost or encouragement.,Modern education gave a fillip to reform movements.,The new law provided a fillip to social change.,Public support gave a fillip to the campaign.,Boost,Fillip (Noun),Modern History,Socio-Religious Reform Movement,-
Carrion,Dead and decaying flesh.,Reformers criticized practices involving animal carrion.,Carrion attracts scavenging birds.,The sight of carrion was considered unpleasant.,Dead flesh,Carrion (Noun),Modern History,Socio-Religious Reform Movement,-
Loathsome,Extremely unpleasant or disgusting.,Reformers described some practices as loathsome.,The custom was considered loathsome by critics.,Many viewed the act as loathsome and inhuman.,Disgusting,Loathsome (Adjective),Modern History,Socio-Religious Reform Movement,Loathsomeness
Decrying,Publicly criticizing.,Newspapers were decrying social injustices.,Reformers decried child marriage.,Intellectuals decried discrimination.,Publicly criticize,Decry (Verb),Modern History,Socio-Religious Reform Movement,"Decry, Decried"
Tirades,Long angry speeches full of criticism.,Opponents launched tirades against reformers.,Newspapers published tirades against certain customs.,Political meetings often featured emotional tirades.,Angry speech,Tirade (Noun),Modern History,Socio-Religious Reform Movement,Tirade
Unison,Acting or speaking together; in agreement.,The peasants raised their demands in unison.,Tribal communities acted in unison against exploitation.,Leaders and villagers spoke in unison during the protest.,Together as one,Unison (Noun),Modern History,"Peasant, Tribal and Other Movements",-
Pursuit,The act of trying to achieve or obtain something.,The peasants struggled in pursuit of justice.,Reformers worked in pursuit of social equality.,The pursuit of profit often harmed cultivators.,Chasing a goal,"Pursue (Verb), Pursuit (Noun)",Modern History,"Peasant, Tribal and Other Movements","Pursue, Pursuing"
Usurious,Charging excessively high interest on loans.,Moneylenders imposed usurious interest rates on peasants.,Usurious practices trapped farmers in debt.,Many revolts were directed against usurious lending.,Extremely high interest,"Usury (Noun), Usurious (Adjective)",Modern History,"Peasant, Tribal and Other Movements",Usury
Feudal,Relating to a system where landlords controlled land and peasants worked for them.,Many peasants suffered under the feudal system.,Feudal landlords exercised immense power.,Reformers criticized feudal exploitation.,Landlord-based system,"Feudal (Adjective), Feudalism (Noun)",Modern History,"Peasant, Tribal and Other Movements","Feudalism, Feudalist"
Unremunerative,Not profitable; not providing enough income.,Agriculture became unremunerative for many peasants.,Indigo cultivation was often unremunerative.,Farmers abandoned unremunerative occupations.,Not worth the effort,"Remunerate (Verb), Unremunerative (Adjective)",Modern History,"Peasant, Tribal and Other Movements","Remunerate, Remuneration"
Indenture,A contract binding a person to work for a fixed period.,Many Indians were sent abroad under indenture.,Indenture labourers worked on plantations.,The indenture system often led to exploitation.,Work contract,Indenture (Noun),Modern History,"Peasant, Tribal and Other Movements",Indentured
Beset,Surrounded or troubled by problems.,Peasants were beset by poverty and debt.,Tribal communities were beset with hardships.,The colonial administration was beset by revolts.,Troubled from all sides,Beset (Verb),Modern History,"Peasant, Tribal and Other Movements",Besetting
Patron,"A supporter, protector, or sponsor.",Local chiefs acted as patrons of tribal groups.,Wealthy merchants became patrons of reform movements.,The ruler was a patron of education.,Supporter,Patron (Noun),Modern History,"Peasant, Tribal and Other Movements",Patronage
Disenchantment,Disappointment after losing faith in something.,The peasants felt growing disenchantment with British rule.,Economic hardships led to widespread disenchantment.,Disenchantment fueled resistance movements.,Loss of faith,"Disenchanted (Adjective), Disenchantment (Noun)",Modern History,"Peasant, Tribal and Other Movements",Disenchanted
Ambit,"Scope, range, or area of influence.",The movement expanded its ambit over time.,Education came within the ambit of reform efforts.,The law fell within the ambit of colonial administration.,Scope,Ambit (Noun),Modern History,"Peasant, Tribal and Other Movements",-
Conform,To follow accepted rules or customs.,Many reformers refused to conform to social traditions.,The peasants were forced to conform to unfair policies.,Society expected individuals to conform.,Follow the rules,Conform (Verb),Modern History,"Peasant, Tribal and Other Movements","Conformity, Conforming"
Proselytizing,Trying to convert others to a religion or belief.,Missionaries were engaged in proselytizing activities.,Some tribal groups resisted proselytizing efforts.,Religious organizations promoted proselytizing.,Trying to convert others,Proselytize (Verb),Modern History,"Peasant, Tribal and Other Movements","Proselytize, Proselytization"
Tyranny,Cruel and oppressive rule.,The peasants revolted against tyranny.,Tribal uprisings challenged colonial tyranny.,Reformers condemned political tyranny.,Oppressive rule,"Tyrant (Noun), Tyranny (Noun)",Modern History,"Peasant, Tribal and Other Movements","Tyrant, Tyrannical"
Carving,"Creating, shaping, or cutting out something.",The British were carving out new territories.,Leaders played a role in carving political boundaries.,Tribal artisans were known for wood carving.,Shape or cut out,"Carve (Verb), Carving (Noun)",Modern History,"Peasant, Tribal and Other Movements","Carve, Carved"
Attributed,Regarded as being caused by someone or something.,The revolt was attributed to economic hardship.,Historians attributed the uprising to colonial policies.,Success was attributed to strong leadership.,Caused by,Attribute (Verb),Modern History,"Peasant, Tribal and Other Movements","Attribute, Attribution"
Reckon,"To think, believe, or calculate.",Many historians reckon the revolt was inevitable.,The peasants reckoned that conditions would improve.,He was reckoned among the greatest leaders.,Think or believe,Reckon (Verb),Modern History,"Peasant, Tribal and Other Movements",Reckoning
Quelled,Suppressed or put down.,The British quickly quelled the rebellion.,Troops were sent to quell tribal unrest.,The movement was eventually quelled by force.,Suppressed,Quell (Verb),Modern History,"Peasant, Tribal and Other Movements","Quell, Quelling"
Triumvirate,A group of three leaders sharing power.,A triumvirate of leaders guided the movement.,The organization was managed by a triumvirate.,Historians refer to the three reformers as a triumvirate.,Rule of three,Triumvirate (Noun),Modern History,"Peasant, Tribal and Other Movements",-
Instil,"To gradually introduce an idea, value, or feeling.",Reformers tried to instil confidence among the people.,Leaders sought to instil national pride.,Education helped instil modern values.,Gradually teach,Instil (Verb),Modern History,"Peasant, Tribal and Other Movements","Instilled, Instilling"
Ablaze,Burning intensely; filled with strong excitement or conflict.,The countryside was ablaze with rebellion.,Villages were ablaze during the conflict.,The region was ablaze with anti-colonial sentiment.,On fire,Ablaze (Adjective),Modern History,"Peasant, Tribal and Other Movements",-
Blatant,Very obvious and offensive; done openly without shame.,Reformers criticized the blatant discrimination in society.,The peasants protested against the blatant exploitation by landlords.,Nationalist leaders condemned the blatant misuse of power by the British.,Openly obvious,Blatant (Adjective),Modern History,Revolt of 1857,Blatantly
Patronage,"Support, protection, or financial help given by an influential person.",Indian art flourished under royal patronage.,Many scholars received patronage from kings.,The British gained support through political patronage.,Support from a powerful person,"Patron (Noun), Patronage (Noun)",Modern History,Revolt of 1857,"Patron, Patronize"
Notoriously,Famous for something bad.,The indigo planters were notoriously harsh towards peasants.,The prison was notoriously known for its poor conditions.,Some colonial laws were notoriously oppressive.,Famous for something bad,"Notorious (Adjective), Notoriously (Adverb)",Modern History,Revolt of 1857,"Notorious, Notoriety"
Scourge,A cause of great suffering or trouble.,Poverty remained a major scourge during British rule.,Famines became the scourge of rural India.,Reformers tried to eliminate the scourge of untouchability.,Great evil,Scourge (Noun/Verb),Modern History,Revolt of 1857,"Scourged, Scourging"
Denounce,To publicly criticize or condemn.,Nationalist leaders denounced British policies.,Reformers denounced the practice of Sati.,Newspapers denounced racial discrimination.,Publicly condemn,Denounce (Verb),Modern History,Revolt of 1857,"Denounced, Denunciation"
Estranged,Separated or no longer close due to disagreement.,Many rulers became estranged from the British.,The policy estranged the people from the government.,Social discrimination estranged different communities.,Become distant,Estrange (Verb),Modern History,Revolt of 1857,"Estrange, Estrangement"
Incite,To encourage people to take violent or strong action.,The speech was accused of inciting rebellion.,British officials feared that newspapers would incite unrest.,Some leaders were charged with inciting the masses.,Stir up,Incite (Verb),Modern History,Revolt of 1857,"Incited, Incitement"
Titular,"Holding only the title, without real power.","After 1857, the Mughal emperor became only a titular ruler.",Many princes remained titular heads under British rule.,The king held a titular position while the Company exercised power.,Only in name,Titular (Adjective),Modern History,Revolt of 1857,-
Dissent,Disagreement with official ideas or policies.,The British tried to suppress political dissent.,Newspapers became platforms for dissent.,Many leaders openly dissented against colonial rule.,Disagreement,Dissent (Noun/Verb),Modern History,Revolt of 1857,"Dissenting, Dissenter"
Retrogressive,Moving backward instead of making progress.,Reformers opposed retrogressive social practices.,The policy was considered retrogressive by many leaders.,Child marriage was viewed as a retrogressive custom.,Backward-looking,"Retrogress (Verb), Retrogressive (Adjective)",Modern History,Revolt of 1857,"Retrogress, Retrogression"
Desisted,Stopped doing something.,The protesters refused to desist from their movement.,The British ordered the rebels to desist from violence.,Reformers did not desist despite opposition.,Stop doing,Desist (Verb),Modern History,Revolt of 1857,"Desist, Desisting"
Proclamation,An official public announcement.,The Queen's Proclamation of 1858 changed British administration.,A royal proclamation was issued after the revolt.,The proclamation promised equal treatment before the law.,Official announcement,"Proclaim (Verb), Proclamation (Noun)",Modern History,Revolt of 1857,"Proclaim, Proclaimed"
Emancipate,"To free someone from oppression, restrictions, or control.",Reformers worked to emancipate women from social evils.,Education helped emancipate oppressed communities.,Social reform aimed to emancipate people from discrimination.,Set free,Emancipate (Verb),Modern History,Revolt of 1857,"Emancipation, Emancipated"
Stumbling Block,An obstacle or problem that prevents progress.,The lack of unity became a stumbling block to the national movement.,Illiteracy was a stumbling block in spreading political awareness.,Regional differences acted as a stumbling block to national unity.,Obstacle,Stumbling Block (Phrase),Modern History,Rise of Indian Nationalism,-
Disillusionment,Feeling disappointed after realizing something is not as good as expected.,Indians experienced disillusionment with British rule.,Economic exploitation led to widespread disillusionment.,The failure of reforms increased public disillusionment.,Lost hope,"Disillusion (Verb), Disillusionment (Noun)",Modern History,Rise of Indian Nationalism,"Disillusion, Disillusioned"
Dissemination,The act of spreading information or ideas.,Newspapers played an important role in the dissemination of nationalist ideas.,The dissemination of Western education created political awareness.,Books contributed to the dissemination of reformist ideas.,Spread,"Disseminate (Verb), Dissemination (Noun)",Modern History,Rise of Indian Nationalism,"Disseminate, Disseminated"
Vociferation,Loud and forceful expression of opinions.,There was vociferation against unfair British policies.,Public meetings witnessed loud vociferation for reforms.,The Congress sessions echoed with vociferation for self-government.,Loud protest,"Vociferate (Verb), Vociferation (Noun)",Modern History,Rise of Indian Nationalism,"Vociferate, Vociferous"
Apt,Suitable or appropriate.,The slogan was apt for inspiring national unity.,Dadabhai Naoroji gave an apt explanation of the Drain Theory.,The newspaper used apt examples to criticize colonial rule.,Suitable,Apt (Adjective),Modern History,Rise of Indian Nationalism,Aptly
Espoused,To support or adopt an idea or cause.,Early nationalists espoused constitutional methods.,Reformers espoused women's education.,Many leaders espoused the idea of self-government.,Support,Espouse (Verb),Modern History,Rise of Indian Nationalism,"Espouse, Espousal"
Staunchly,Firmly and loyally.,Gopal Krishna Gokhale staunchly believed in constitutional reforms.,Many leaders staunchly opposed racial discrimination.,The newspaper staunchly supported Indian rights.,Firmly,"Staunch (Adjective), Staunchly (Adverb)",Modern History,Rise of Indian Nationalism,Staunch
Aloof,Distant; not involved.,Some rulers remained aloof from the nationalist movement.,Educated Indians could no longer remain aloof from politics.,The British administration stayed aloof from public demands.,Distant,Aloof (Adjective),Modern History,Rise of Indian Nationalism,-
Lent Credence,To make something seem believable or trustworthy.,Official reports lent credence to the allegations of exploitation.,Economic data lent credence to the Drain Theory.,Eyewitness accounts lent credence to the nationalist claims.,Made believable,"Lend (Verb), Credence (Noun)",Modern History,Rise of Indian Nationalism,"Lend, Credence"
Inception,The beginning or start of something.,The inception of the Indian National Congress marked a new phase.,The inception of political associations increased public participation.,Nationalism gained momentum from its early inception.,Beginning,Inception (Noun),Modern History,Rise of Indian Nationalism,Incept
Allay,"To reduce fear, worry, or anger.",The British introduced reforms to allay public dissatisfaction.,Leaders tried to allay the fears of different communities.,The government failed to allay growing unrest.,Calm down,Allay (Verb),Modern History,Rise of Indian Nationalism,"Allayed, Allaying"
Demise,Death or end of something.,The demise of old political systems encouraged nationalism.,The leader's demise was widely mourned.,The decline of British authority eventually led to its demise.,End,Demise (Noun),Modern History,Rise of Indian Nationalism,-
Pronged,Having several parts or approaches.,The Congress adopted a multi-pronged strategy.,Nationalists launched a two-pronged campaign against colonial rule.,The movement followed a pronged approach involving education and protest.,Multi-sided,"Prong (Noun), Pronged (Adjective)",Modern History,Rise of Indian Nationalism,Prong
Ameliorate,To improve or make better.,Reformers sought to ameliorate the condition of peasants.,New policies failed to ameliorate poverty.,The Congress demanded measures to ameliorate public welfare.,Improve,Ameliorate (Verb),Modern History,Rise of Indian Nationalism,"Ameliorated, Amelioration"
Fangs,Sharp teeth; used metaphorically to mean harmful power.,Nationalists wanted to remove the fangs of colonial exploitation.,The British administration showed the fangs of imperialism.,The law revealed the fangs of an oppressive government.,Harmful power,Fang (Noun),Modern History,Rise of Indian Nationalism,Fang
Complacency,Self-satisfaction that prevents improvement.,The early leaders warned against political complacency.,Complacency delayed public awakening.,Nationalists urged people to overcome complacency.,False satisfaction,"Complacent (Adjective), Complacency (Noun)",Modern History,Rise of Indian Nationalism,Complacent
Cadastral,"Related to land records, land surveys, or property boundaries.",The British prepared cadastral surveys for revenue collection.,Cadastral maps helped determine land taxes.,Cadastral records became important for land administration.,Land records,Cadastral (Adjective),Modern History,Rise of Indian Nationalism,Cadastre
Perpetrated,To commit a harmful or illegal act.,The British perpetrated many acts of repression.,The police perpetrated violence against peaceful protesters.,The massacre was perpetrated by colonial forces.,Commit a wrong,Perpetrate (Verb),Modern History,Indian National Movement (1905-1916),"Perpetrate, Perpetration"
Simmering,Existing quietly but likely to become stronger.,Simmering discontent spread across Bengal.,There was simmering anger against British rule.,Economic hardships created simmering resentment.,Hidden anger,Simmer (Verb),Modern History,Indian National Movement (1905-1916),"Simmer, Simmered"
Propounded,To put forward an idea or theory.,Tilak propounded the idea of Swaraj.,Nationalists propounded new political strategies.,The leader propounded reforms through his speeches.,Put forward,Propound (Verb),Modern History,Indian National Movement (1905-1916),"Propound, Propounding"
Endowed,"To provide with a quality, gift, or resource.",India was endowed with abundant natural resources.,Tilak was endowed with remarkable leadership skills.,The institution was endowed with generous funds.,Gifted with,Endow (Verb),Modern History,Indian National Movement (1905-1916),"Endow, Endowment"
Capitulation,Surrender or give up after resistance.,The revolutionaries refused capitulation.,The British expected the leaders' capitulation.,Capitulation was viewed as a sign of weakness.,Surrender,Capitulate (Verb),Modern History,Indian National Movement (1905-1916),"Capitulate, Capitulated"
Politico-Cultural Creed,A system of political and cultural beliefs.,Nationalism became a politico-cultural creed.,The movement promoted a common politico-cultural creed.,The leaders united people through a shared politico-cultural creed.,Political belief system,Creed (Noun),Modern History,Indian National Movement (1905-1916),Creed
Avowed,To openly declare or admit.,Tilak was an avowed nationalist.,The Congress openly avowed its objectives.,He avowed his commitment to Swaraj.,Openly declared,Avow (Verb),Modern History,Indian National Movement (1905-1916),"Avow, Avowal"
Draconian Laws,Extremely harsh or severe laws.,The British introduced draconian laws to suppress dissent.,Revolutionaries opposed draconian legislation.,The press criticized draconian restrictions.,Very harsh laws,Draconian (Adjective),Modern History,Indian National Movement (1905-1916),Draconian
Providential Mission,Believed to be guided by God or destiny.,Some British officials claimed a providential mission in India.,They justified colonial rule as a providential mission.,Nationalists rejected this claim.,God's mission,Providential (Adjective),Modern History,Indian National Movement (1905-1916),Providentially
Panacea,A solution believed to solve every problem.,Constitutional reforms were not a panacea.,Swadeshi alone was not considered a panacea.,Education is not a panacea for every social issue.,Cure-all,Panacea (Noun),Modern History,Indian National Movement (1905-1916),-
Embodiment,A perfect example or representation.,Tilak became the embodiment of assertive nationalism.,Gandhi later became the embodiment of non-violence.,The flag became the embodiment of national unity.,Perfect example,"Embody (Verb), Embodiment (Noun)",Modern History,Indian National Movement (1905-1916),"Embody, Embodied"
Ulterior,Hidden or secret.,The partition had ulterior political motives.,The British were accused of having ulterior intentions.,His proposal carried an ulterior purpose.,Hidden motive,Ulterior (Adjective),Modern History,Indian National Movement (1905-1916),-
Apparent Prima Facie,At first sight; based on initial appearance.,"Prima facie, the decision appeared reasonable.",There was prima facie evidence of discrimination.,"Prima facie, the policy seemed beneficial.",At first glance,Prima Facie (Latin Phrase),Modern History,Indian National Movement (1905-1916),-
Out of the Blue,Unexpectedly.,The announcement came out of the blue.,The arrest happened out of the blue.,The decision surprised everyone out of the blue.,Suddenly,Out of the Blue (Idiom),Modern History,Indian National Movement (1905-1916),-
Spurted Out,To come out suddenly or increase rapidly.,Nationalist newspapers spurted out across India.,Anger spurted out after the partition.,Protests spurted out in many cities.,Suddenly burst forth,Spurt (Verb),Modern History,Indian National Movement (1905-1916),"Spurt, Spurting"
Inter-alia,Among other things.,"The resolution demanded, inter alia, greater representation.","The report discussed, inter alia, economic exploitation.","The reforms included, inter alia, educational changes.",Among other things,Inter-alia (Latin Phrase),Modern History,Indian National Movement (1905-1916),-
Annulled,To officially cancel.,The Partition of Bengal was annulled in 1911.,The government annulled the previous order.,Several restrictions were annulled.,Officially cancel,Annul (Verb),Modern History,Indian National Movement (1905-1916),"Annul, Annulment"
Hitherto,Until now.,"Hitherto, Congress had followed moderate methods.",Hitherto neglected groups joined the movement.,Hitherto unknown leaders emerged.,Until now,Hitherto (Adverb),Modern History,Indian National Movement (1905-1916),-
Fillip,A boost or encouragement.,The Swadeshi Movement gave a fillip to nationalism.,Boycott campaigns provided a fillip to indigenous industries.,The movement received a fillip from student participation.,Boost,Fillip (Noun),Modern History,Indian National Movement (1905-1916),-
Onset,The beginning of something.,The onset of the Swadeshi Movement transformed politics.,The First World War marked the onset of new challenges.,The onset of nationalism united many Indians.,Beginning,Onset (Noun),Modern History,Indian National Movement (1905-1916),-
Proliferation,Rapid increase in number.,There was a proliferation of nationalist newspapers.,Secret societies saw rapid proliferation.,Educational institutions witnessed proliferation.,Rapid growth,Proliferate (Verb),Modern History,Indian National Movement (1905-1916),"Proliferate, Proliferating"
Fervour,Great enthusiasm.,The Swadeshi Movement spread with patriotic fervour.,Students participated with great fervour.,Nationalist fervour inspired thousands.,Passion,Fervour (Noun),Modern History,Indian National Movement (1905-1916),"Fervent, Fervently"
Ingenious,Clever and inventive.,Revolutionaries used ingenious methods to avoid arrest.,Leaders adopted ingenious strategies.,The plan was remarkably ingenious.,Clever,Ingenious (Adjective),Modern History,Indian National Movement (1905-1916),"Ingenuity, Ingeniously"
Aloof,Distant; uninvolved.,Some princes remained aloof from the movement.,Many officials stayed aloof from public opinion.,The educated class could not remain aloof forever.,Detached,Aloof (Adjective),Modern History,Indian National Movement (1905-1916),-
Foreshadow,To indicate that something will happen later.,The partition foreshadowed future communal tensions.,Early protests foreshadowed mass movements.,The event foreshadowed larger political changes.,Predict beforehand,Foreshadow (Verb),Modern History,Indian National Movement (1905-1916),"Foreshadowed, Foreshadowing"
Cordial,Warm and friendly.,The Moderates maintained cordial relations with officials.,The leaders held cordial discussions.,Cordial cooperation helped the negotiations.,Friendly,Cordial (Adjective),Modern History,Indian National Movement (1905-1916),Cordially
Dissuades,To persuade someone not to do something.,Moderate leaders tried to dissuade the youth from violence.,Friends dissuaded him from joining the revolt.,The government failed to dissuade protesters.,Talk out of,Dissuade (Verb),Modern History,Indian National Movement (1905-1916),"Dissuade, Dissuaded, Dissuasion"
Averting,To prevent.,Leaders worked towards averting communal conflict.,Timely reforms helped in averting unrest.,Diplomacy succeeded in averting violence.,Prevent,Avert (Verb),Modern History,Indian National Movement (1905-1916),"Avert, Averted"
Anvil,"A heavy iron block used by blacksmiths; metaphorically, a place where ideas are shaped.",The freedom struggle became the anvil on which leaders were forged.,National unity was shaped on the anvil of sacrifice.,The movement became the anvil of political awakening.,Place where things are shaped,Anvil (Noun),Modern History,Indian National Movement (1905-1916),Anvils
Congenial,Pleasant or suitable.,The political atmosphere was not congenial for reforms.,The new environment proved congenial for nationalist ideas.,Students found the institution congenial.,Suitable,Congenial (Adjective),Modern History,Indian National Movement (1905-1916),"Congeniality, Congenially"
Espoused,To support a cause or idea.,Extremists espoused complete self-rule.,Congress leaders espoused constitutional reforms.,Nationalists espoused Swadeshi ideals.,Support,Espouse (Verb),Modern History,Indian National Movement (1905-1916),"Espouse, Espousal"
Belligerent Powers,Nations engaged in war.,Britain was one of the belligerent powers in World War I.,The belligerent powers mobilized vast armies.,India contributed soldiers to the Allied belligerent powers.,Countries at war,Belligerent (Adjective),Modern History,Indian National Movement (1905-1916),"Belligerence, Belligerently"
Coronation,The ceremony of crowning a monarch.,Delhi hosted the Coronation Durbar in 1911.,The king's coronation was celebrated across the Empire.,The coronation marked the beginning of a new reign.,Crowning ceremony,Coronation (Noun),Modern History,Indian National Movement (1905-1916),Coronate
Dismemberment,Breaking apart or dividing.,Nationalists opposed the dismemberment of Bengal.,The partition led to the dismemberment of the province.,They feared the dismemberment of national unity.,Break apart,Dismember (Verb),Modern History,Indian National Movement (1905-1916),"Dismember, Dismembered"
Rapprochement,Restoration of friendly relations.,The Lucknow Pact marked a rapprochement between Congress and the Muslim League.,Leaders sought rapprochement after years of disagreement.,The agreement led to political rapprochement.,Friendly reunion,Rapprochement (Noun),Modern History,Indian National Movement (1905-1916),-
Truce,Temporary agreement to stop fighting.,The rivals declared a truce during negotiations.,A political truce allowed discussions to continue.,The truce reduced tensions temporarily.,Temporary peace,Truce (Noun),Modern History,Indian National Movement (1905-1916),Truces
Rescinded,To officially cancel or withdraw.,The government rescinded the controversial order.,Several restrictions were rescinded after protests.,The policy was later rescinded.,Withdraw officially,Rescind (Verb),Modern History,Indian National Movement (1905-1916),"Rescind, Rescission"
Magna Carta,The historic English charter (1215) that limited the king's powers and recognized certain rights; also used metaphorically for a document guaranteeing fundamental rights.,"The Lucknow Pact has sometimes been described as the ""Magna Carta"" of Hindu-Muslim unity.",The Magna Carta became a symbol of constitutional rights.,Many democratic constitutions draw inspiration from the Magna Carta.,Charter of rights,Proper Noun,Modern History,Indian National Movement (1905-1916),-
